"lon" "lat" "MCS" "eq.id" "Mw" "LatEp" "LonEp" "dist"
13.749 41.354 8 "95" 6.62 41.48 14.07 30.212145248281
14.207 40.974 8 "95" 6.62 41.48 14.07 57.4193054351653
13.932 41.46 8 "95" 6.62 41.48 14.07 11.7110662022826
14.021 41.584 8 "95" 6.62 41.48 14.07 12.262472355372
13.881 41.903 8 "95" 6.62 41.48 14.07 49.5843707063816
14.26 40.855 7 "95" 6.62 41.48 14.07 71.2933664343568
11.87 42.42 9 "96" 5.91 42.62 12.12 30.2384246229144
12.11 42.421 9 "96" 5.91 42.62 12.12 22.1429618979803
11.816 42.692 8 "96" 5.91 42.62 12.12 26.1174354252813
12.386 43.106 8 "96" 5.91 42.62 12.12 58.2272676465912
12.736 42.732 8 "96" 5.91 42.62 12.12 51.8751768126884
12.113 42.719 8 "96" 5.91 42.62 12.12 11.0231647088951
12.616 43.07 7 "96" 5.91 42.62 12.12 64.3346570381367
12.141 43.57 7 "96" 5.91 42.62 12.12 105.648940213098
12.668 42.992 7 "96" 5.91 42.62 12.12 60.9061582575135
13.094 42.793 7 "96" 5.91 42.62 12.12 81.8770808571775
10.925 44.647 3 "96" 5.91 42.62 12.12 245.045039885676
13.977 41.932 10 "97" 6.46 42.17 13.38 55.9475850873057
13.174 42.265 10 "97" 6.46 42.17 13.38 19.9843561943729
13.075 42.235 10 "97" 6.46 42.17 13.38 26.1419749343535
13.09 42.266 10 "97" 6.46 42.17 13.38 26.1587059947123
13.068 42.294 10 "97" 6.46 42.17 13.38 29.1541376521747
13.056 42.311 10 "97" 6.46 42.17 13.38 30.9387583723707
13.396 42.356 9 "97" 6.46 42.17 13.38 20.7241243055235
13.967 42 9 "97" 6.46 42.17 13.38 51.9987534877173
14.017 42.017 9 "97" 6.46 42.17 13.38 55.2450327305926
13.914 42.214 9 "97" 6.46 42.17 13.38 44.2642774124902
13.574 41.8 9 "97" 6.46 42.17 13.38 44.1563662369562
14.065 41.889 9 "97" 6.46 42.17 13.38 64.6322591757815
13.095 41.925 9 "97" 6.46 42.17 13.38 35.9995890774407
13.993 42.051 8 "97" 6.46 42.17 13.38 52.2690385921743
12.482 41.895 8 "97" 6.46 42.17 13.38 80.2232000483757
12.596 42.355 7 "97" 6.46 42.17 13.38 67.7169076719216
13.578 42.853 7 "97" 6.46 42.17 13.38 77.6607760808723
12.141 43.57 9 "99" 6 43.465 12.127 11.7299153564572
12.061 43.435 9 "99" 6 43.465 12.127 6.28598929286494
12.239 43.457 9 "99" 6 43.465 12.127 9.08318714290114
12.068 43.415 9 "99" 6 43.465 12.127 7.32134817096361
11.879 43.463 8 "99" 6 43.465 12.127 20.0163226396641
12.736 42.732 5 "99" 6 43.465 12.127 95.3309847200897
11.34 44.498 4 "99" 6 43.465 12.127 130.990540492569
12.141 43.57 7 "101" 5.03 43.57 12.141 0
15.561 41.205 10 "102" 6.06 41.23 15.45 9.6915381886789
15.342 41.251 9 "102" 6.06 41.23 15.45 9.32722308577113
16.067 41.223 8 "102" 6.06 41.23 15.45 51.6059876606464
15.674 40.924 8 "102" 6.06 41.23 15.45 38.8623562446823
15.38 41.15 8 "102" 6.06 41.23 15.45 10.650868720837
11.328 43.321 7 "103" 5.03 43.321 11.328 0
11.34 44.498 8 "106" 5.03 44.5 11.33 0.823701255039828
11.289 44.727 6 "106" 5.03 44.5 11.33 25.4490268777125
11.639 44.477 6 "106" 5.03 44.5 11.33 24.6446158945104
11.187 44.638 6 "106" 5.03 44.5 11.33 19.0731866629887
